scenario_id,observation_index,trace_id,app,content,real_rf_state_id,primary_rf_state_id,target_rsrp_dbm,target_rsrq_db,target_snr_db,primary_control_state_id,primary_ploss,primary_noise_power_dB,primary_supported,candidate_control_state_id,candidate_ploss,candidate_noise_power_dB,candidate_supported,both_supported,primary_only,candidate_only,union_supported
ucc-static-03c60d20f6ba6fb3,41,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-89|rsrq=-10|snr=6,rsrp=-89|rsrq=-10,-89,-10,6,ploss=0|noise_power_dB=-5,0,-5,False,ploss=0|noise_power_dB=-5,0,-5,False,False,False,False,False
ucc-static-03c60d20f6ba6fb3,42,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-89|rsrq=-10|snr=6,rsrp=-89|rsrq=-10,-89,-10,6,ploss=0|noise_power_dB=-5,0,-5,False,ploss=0|noise_power_dB=-5,0,-5,False,False,False,False,False
ucc-static-03c60d20f6ba6fb3,43,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-89|rsrq=-11|snr=4,rsrp=-89|rsrq=-11,-89,-11,4,ploss=0|noise_power_dB=-5,0,-5,False,ploss=0|noise_power_dB=-5,0,-5,False,False,False,False,False
ucc-static-03c60d20f6ba6fb3,44,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-89|rsrq=-11|snr=4,rsrp=-89|rsrq=-11,-89,-11,4,ploss=0|noise_power_dB=-5,0,-5,False,ploss=0|noise_power_dB=-5,0,-5,False,False,False,False,False
ucc-static-03c60d20f6ba6fb3,45,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-90|rsrq=-16|snr=2,rsrp=-90|rsrq=-16,-90,-16,2,ploss=0|noise_power_dB=-5,0,-5,False,ploss=0|noise_power_dB=-5,0,-5,False,False,False,False,False
ucc-static-03c60d20f6ba6fb3,46,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-90|rsrq=-16|snr=2,rsrp=-90|rsrq=-16,-90,-16,2,ploss=0|noise_power_dB=-5,0,-5,False,ploss=0|noise_power_dB=-5,0,-5,False,False,False,False,False
ucc-static-03c60d20f6ba6fb3,47,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-89|rsrq=-12|snr=6,rsrp=-89|rsrq=-12,-89,-12,6,ploss=0|noise_power_dB=-5,0,-5,False,ploss=0|noise_power_dB=-5,0,-5,False,False,False,False,False
ucc-static-03c60d20f6ba6fb3,48,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-89|rsrq=-12|snr=6,rsrp=-89|rsrq=-12,-89,-12,6,ploss=0|noise_power_dB=-5,0,-5,False,ploss=0|noise_power_dB=-5,0,-5,False,False,False,False,False
ucc-static-03c60d20f6ba6fb3,49,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-90|rsrq=-11|snr=4,rsrp=-90|rsrq=-11,-90,-11,4,ploss=0|noise_power_dB=-5,0,-5,True,ploss=0|noise_power_dB=-5,0,-5,False,False,True,False,True
ucc-static-03c60d20f6ba6fb3,50,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-90|rsrq=-11|snr=4,rsrp=-90|rsrq=-11,-90,-11,4,ploss=0|noise_power_dB=-5,0,-5,True,ploss=0|noise_power_dB=-5,0,-5,False,False,True,False,True
ucc-static-03c60d20f6ba6fb3,51,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-90|rsrq=-13|snr=-4,rsrp=-90|rsrq=-13,-90,-13,-4,ploss=0|noise_power_dB=-5,0,-5,False,ploss=0|noise_power_dB=-5,0,-5,False,False,False,False,False
ucc-static-03c60d20f6ba6fb3,52,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-90|rsrq=-13|snr=-4,rsrp=-90|rsrq=-13,-90,-13,-4,ploss=0|noise_power_dB=-5,0,-5,False,ploss=0|noise_power_dB=-5,0,-5,False,False,False,False,False
ucc-static-03c60d20f6ba6fb3,53,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-90|rsrq=-16|snr=-6,rsrp=-90|rsrq=-16,-90,-16,-6,ploss=0|noise_power_dB=-5,0,-5,False,ploss=0|noise_power_dB=-5,0,-5,False,False,False,False,False
ucc-static-03c60d20f6ba6fb3,54,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,rsrp=-90|rsrq=-16|snr=-6,rsrp=-90|rsrq=-16,-90,-16,-6,ploss=0|noise_power_dB=-5,0,-5,False,ploss=0|noise_power_dB=-5,0,-5,False,False,False,False,False
